Iteration,Epoch,LearnRate,Loss,Accuracy
1,1,0.001,0.987263798713684,62.5
2,1,0.001,0.750295162200928,65
3,1,0.001,0.736613273620605,72.5
4,1,0.001,1.48854804039001,60
5,1,0.001,0.989731967449188,75
6,1,0.001,0.72125118970871,77.5
7,1,0.001,0.433671951293945,77.5
8,1,0.001,0.398447751998901,82.5
9,1,0.001,0.568412184715271,77.5
10,1,0.001,0.617433071136475,72.5
11,1,0.001,0.284615129232407,87.5
12,1,0.001,0.138761669397354,92.5
13,1,0.001,0.332954972982407,85
14,1,0.001,0.378615587949753,85
15,1,0.001,0.608640968799591,80
16,1,0.001,0.469376891851425,80
17,1,0.001,0.246351882815361,87.5
18,1,0.001,0.166863054037094,92.5
19,1,0.001,0.124394491314888,95
20,1,0.001,0.287798196077347,87.5
21,1,0.001,0.349150955677032,85
22,1,0.001,0.219581842422485,95
23,1,0.001,0.132461592555046,95
24,1,0.001,0.105263315141201,95
25,1,0.001,0.164399728178978,92.5
26,1,0.001,0.198361963033676,90
27,1,0.001,0.11737897247076,95
28,1,0.001,0.0497681573033333,100
29,1,0.001,0.456560462713242,85
30,1,0.001,0.0589118003845215,97.5
31,1,0.001,0.194475740194321,92.5
32,1,0.001,0.0840795189142227,97.5
33,1,0.001,0.0747594982385635,95
34,1,0.001,0.168261975049973,95
35,1,0.001,0.0412643812596798,100
36,1,0.001,0.119342669844627,95
37,1,0.001,0.0861715227365494,97.5
38,1,0.001,0.0300429668277502,100
39,1,0.001,0.0672467201948166,95
40,1,0.001,0.053381759673357,100
41,1,0.001,0.0633610337972641,97.5
42,1,0.001,0.139181703329086,95
43,1,0.001,0.0792719721794128,97.5
44,1,0.001,0.0254484470933676,100
45,1,0.001,0.0435714796185493,100
46,2,0.001,0.022370170801878,100
47,2,0.001,0.0590247735381126,100
48,2,0.001,0.0528289899230003,97.5
49,2,0.001,0.171503856778145,90
50,2,0.001,0.0315464660525322,100
51,2,0.001,0.047884039580822,95
52,2,0.001,0.015693161636591,100
53,2,0.001,0.0128700435161591,100
54,2,0.001,0.103368259966373,97.5
55,2,0.001,0.0215109474956989,100
56,2,0.001,0.0735408589243889,95
57,2,0.001,0.00696804095059633,100
58,2,0.001,0.0122965471819043,100
59,2,0.001,0.0148769970983267,100
60,2,0.001,0.0382717996835709,100
61,2,0.001,0.0237564481794834,100
62,2,0.001,0.0148808807134628,100
63,2,0.001,0.0267667174339294,100
64,2,0.001,0.00784633494913578,100
65,2,0.001,0.0542752631008625,100
66,2,0.001,0.00664823222905397,100
67,2,0.001,0.0199067927896976,100
68,2,0.001,0.00565215293318033,100
69,2,0.001,0.00448649981990457,100
70,2,0.001,0.0157666299492121,100
71,2,0.001,0.033442385494709,97.5
72,2,0.001,0.0223282091319561,100
73,2,0.001,0.0140927778556943,100
74,2,0.001,0.0195599067956209,100
75,2,0.001,0.0102585824206471,100
76,2,0.001,0.067752979695797,97.5
77,2,0.001,0.0422601625323296,97.5
78,2,0.001,0.0299359858036041,97.5
79,2,0.001,0.00603739963844419,100
80,2,0.001,0.0101032685488462,100
81,2,0.001,0.0156072257086635,100
82,2,0.001,0.0209195967763662,100
83,2,0.001,0.00454570213332772,100
84,2,0.001,0.0171240475028753,100
85,2,0.001,0.109751142561436,97.5
86,2,0.001,0.00194506719708443,100
87,2,0.001,0.0363243892788887,97.5
88,2,0.001,0.0226729102432728,100
89,2,0.001,0.00463660154491663,100
90,2,0.001,0.0199607163667679,100
91,3,0.001,0.00718554947525263,100
92,3,0.001,0.130008518695831,97.5
93,3,0.001,0.00661349389702082,100
94,3,0.001,0.00580121390521526,100
95,3,0.001,0.0150524852797389,100
96,3,0.001,0.00460728071630001,100
97,3,0.001,0.00242895074188709,100
98,3,0.001,0.00214113341644406,100
99,3,0.001,0.00301307835616171,100
100,3,0.001,0.00829121470451355,100
101,3,0.001,0.0050209485925734,100
102,3,0.001,0.000553789956029505,100
103,3,0.001,0.00368002918548882,100
104,3,0.001,0.0174755491316319,100
105,3,0.001,0.00532347429543734,100
106,3,0.001,0.0097062336280942,100
107,3,0.001,0.00208038603886962,100
108,3,0.001,0.00825849920511246,100
109,3,0.001,0.00287156412377954,100
110,3,0.001,0.0243342071771622,97.5
111,3,0.001,0.0271142162382603,97.5
112,3,0.001,0.00415683770552278,100
113,3,0.001,0.00631818268448114,100
114,3,0.001,0.00980233401060104,100
115,3,0.001,0.0152583103626966,100
116,3,0.001,0.00307753472588956,100
117,3,0.001,0.00233884272165596,100
118,3,0.001,0.0122958244755864,100
119,3,0.001,0.0134806884452701,100
120,3,0.001,0.00343130109831691,100
121,3,0.001,0.0690390318632126,97.5
122,3,0.001,0.00916149187833071,100
123,3,0.001,0.029923751950264,100
124,3,0.001,0.00467297807335854,100
125,3,0.001,0.00284963240846992,100
126,3,0.001,0.0189214684069157,100
127,3,0.001,0.0287912748754025,97.5
128,3,0.001,0.00127756025176495,100
129,3,0.001,0.0033070407807827,100
130,3,0.001,0.00145147985313088,100
131,3,0.001,0.000638210738543421,100
132,3,0.001,0.0226049739867449,97.5
133,3,0.001,0.071229562163353,97.5
134,3,0.001,0.00990618765354156,100
135,3,0.001,0.00295834755524993,100
136,4,0.001,0.000905999098904431,100
137,4,0.001,0.00463749701157212,100
138,4,0.001,0.00314078526571393,100
139,4,0.001,0.00408903043717146,100
140,4,0.001,0.016250766813755,100
141,4,0.001,0.0194566659629345,97.5
142,4,0.001,0.00543995993211865,100
143,4,0.001,0.00241408823058009,100
144,4,0.001,0.00192874611821026,100
145,4,0.001,0.0214996729046106,100
146,4,0.001,0.00160323898307979,100
147,4,0.001,0.00116693624295294,100
148,4,0.001,0.00282959756441414,100
149,4,0.001,0.00250049447640777,100
150,4,0.001,0.0107220076024532,100
151,4,0.001,0.00691084284335375,100
152,4,0.001,0.00129995099268854,100
153,4,0.001,0.000535836152266711,100
154,4,0.001,0.000595993536990136,100
155,4,0.001,0.00352904316969216,100
156,4,0.001,0.00264554191380739,100
157,4,0.001,0.00663323234766722,100
158,4,0.001,0.00131810212042183,100
159,4,0.001,0.00356206600554287,100
160,4,0.001,0.000780539587140083,100
161,4,0.001,0.00171458965633065,100
162,4,0.001,0.00246222084388137,100
163,4,0.001,0.000634447322227061,100
164,4,0.001,0.00705002341419458,100
165,4,0.001,0.00210779020562768,100
166,4,0.001,0.0135738831013441,100
167,4,0.001,0.000973220623563975,100
168,4,0.001,0.00602545356377959,100
169,4,0.001,0.00167676690034568,100
170,4,0.001,0.00101810623891652,100
171,4,0.001,0.0228783451020718,97.5
172,4,0.001,0.00216681906022131,100
173,4,0.001,0.000315723416861147,100
174,4,0.001,0.00422974536195397,100
175,4,0.001,0.00250127259641886,100
176,4,0.001,0.00413541728630662,100
177,4,0.001,0.00436454033479095,100
178,4,0.001,0.00137601827736944,100
179,4,0.001,0.00056450063129887,100
180,4,0.001,0.000699219177477062,100
181,5,0.001,0.00124418432824314,100
182,5,0.001,0.00167425186373293,100
183,5,0.001,0.00175015325658023,100
184,5,0.001,0.000992205692455173,100
185,5,0.001,0.00344729842618108,100
186,5,0.001,0.00128554226830602,100
187,5,0.001,0.0011176768457517,100
188,5,0.001,0.00529830669984221,100
189,5,0.001,0.000697771378327161,100
190,5,0.001,0.00120671221520752,100
191,5,0.001,0.0104712247848511,100
192,5,0.001,0.000427930062869564,100
193,5,0.001,0.00129148096311837,100
194,5,0.001,0.00294230575673282,100
195,5,0.001,0.000930009060539305,100
196,5,0.001,0.00201735412701964,100
197,5,0.001,0.000468304293463007,100
198,5,0.001,0.000418729789089411,100
199,5,0.001,0.00040447959327139,100
200,5,0.001,0.00224082567729056,100
201,5,0.001,0.000717373448424041,100
202,5,0.001,0.0025632125325501,100
203,5,0.001,0.000806531577836722,100
204,5,0.001,0.00112919614184648,100
205,5,0.001,0.00133614637888968,100
206,5,0.001,0.00111282360740006,100
207,5,0.001,0.0013258553808555,100
208,5,0.001,0.00128269265405834,100
209,5,0.001,0.00262189726345241,100
210,5,0.001,0.000593638105783612,100
211,5,0.001,0.00358660938218236,100
212,5,0.001,0.000523973896633834,100
213,5,0.001,0.000362068589311093,100
214,5,0.001,0.000695287948474288,100
215,5,0.001,0.000982327852398157,100
216,5,0.001,0.00433031609281898,100
217,5,0.001,0.0010178767843172,100
218,5,0.001,0.000240825262153521,100
219,5,0.001,0.00570208206772804,100
220,5,0.001,0.000629698566626757,100
221,5,0.001,0.00121832371223718,100
222,5,0.001,0.00240668305195868,100
223,5,0.001,0.00134995230473578,100
224,5,0.001,0.000772597617469728,100
225,5,0.001,0.00123046734370291,100
226,6,0.001,0.000343099760357291,100
227,6,0.001,0.000704628531821072,100
228,6,0.001,0.00852673593908548,100
229,6,0.001,0.00327501026913524,100
230,6,0.001,0.00190923293121159,100
231,6,0.001,0.00120804540347308,100
232,6,0.001,0.00255530048161745,100
233,6,0.001,0.000345265696523711,100
234,6,0.001,0.000110145985672716,100
235,6,0.001,0.000981012592092156,100
236,6,0.001,0.00110735022462904,100
237,6,0.001,0.00127213192172348,100
238,6,0.001,0.0014643429312855,100
239,6,0.001,0.00155155383981764,100
240,6,0.001,0.00106040015816689,100
241,6,0.001,0.000747150857932866,100
242,6,0.001,0.00397369172424078,100
243,6,0.001,0.000562833796720952,100
244,6,0.001,0.00148705265019089,100
245,6,0.001,0.00338155101053417,100
246,6,0.001,0.00813101045787334,100
247,6,0.001,0.00792035646736622,100
248,6,0.001,0.00026241919840686,100
249,6,0.001,0.00020356583991088,100
250,6,0.001,0.000519448600243777,100
251,6,0.001,0.000898114056326449,100
252,6,0.001,0.000786913908086717,100
253,6,0.001,0.000535777886398137,100
254,6,0.001,0.00419096183031797,100
255,6,0.001,0.000990906031802297,100
256,6,0.001,0.00137688650283962,100
257,6,0.001,0.00114732049405575,100
258,6,0.001,0.000175314649823122,100
259,6,0.001,0.00103485502768308,100
260,6,0.001,0.000847595918457955,100
261,6,0.001,0.00139546988066286,100
262,6,0.001,0.0127179864794016,100
263,6,0.001,0.000886716763488948,100
264,6,0.001,0.000669870525598526,100
265,6,0.001,0.00193461251910776,100
266,6,0.001,0.00153757934458554,100
267,6,0.001,0.000534316524863243,100
268,6,0.001,0.00124571705237031,100
269,6,0.001,0.00165286473929882,100
270,6,0.001,0.00449918024241924,100
271,7,0.001,0.000370862253475934,100
272,7,0.001,0.000714069639798254,100
273,7,0.001,0.00118314125575125,100
274,7,0.001,0.00205038301646709,100
275,7,0.001,0.000580059655476362,100
276,7,0.001,0.00749203562736511,100
277,7,0.001,0.00410337233915925,100
278,7,0.001,0.000493366154842079,100
279,7,0.001,0.000385635707061738,100
280,7,0.001,0.00037565769162029,100
281,7,0.001,0.000366868480341509,100
282,7,0.001,0.000202384748263285,100
283,7,0.001,0.000896806013770401,100
284,7,0.001,0.00322149554267526,100
285,7,0.001,0.00116007670294493,100
286,7,0.001,0.000618909834884107,100
287,7,0.001,0.0016985337715596,100
288,7,0.001,0.000351611466612667,100
289,7,0.001,0.000137502327561378,100
290,7,0.001,0.00228487094864249,100
291,7,0.001,0.000799946370534599,100
292,7,0.001,0.000573594414163381,100
293,7,0.001,0.000788962643127888,100
294,7,0.001,0.000154919413034804,100
295,7,0.001,0.00304377870634198,100
296,7,0.001,0.000476590910693631,100
297,7,0.001,0.000447091006208211,100
298,7,0.001,0.0005803004023619,100
299,7,0.001,0.00121765851508826,100
300,7,0.001,0.000689248379785568,100
301,7,0.001,0.00262136803939939,100
302,7,0.001,0.00155537039972842,100
303,7,0.001,0.000364866253221408,100
304,7,0.001,0.00400381907820702,100
305,7,0.001,0.000495246611535549,100
306,7,0.001,0.00160911027342081,100
307,7,0.001,0.000317759113386273,100
308,7,0.001,0.00389333441853523,100
309,7,0.001,0.00412500230595469,100
310,7,0.001,0.00041706784395501,100
311,7,0.001,0.000454485038062558,100
312,7,0.001,0.00228879833593965,100
313,7,0.001,0.000802838592790067,100
314,7,0.001,0.000366937078069896,100
315,7,0.001,0.000358365650754422,100
316,8,0.001,0.000805367541033775,100
317,8,0.001,0.00117310567293316,100
318,8,0.001,0.000435025984188542,100
319,8,0.001,0.00164207105990499,100
320,8,0.001,0.000818599364720285,100
321,8,0.001,0.000918071833439171,100
322,8,0.001,0.00140739162452519,100
323,8,0.001,0.0017291366821155,100
324,8,0.001,0.000206383527256548,100
325,8,0.001,0.000138407835038379,100
326,8,0.001,0.000798064575064927,100
327,8,0.001,0.00041099832742475,100
328,8,0.001,0.000813724473118782,100
329,8,0.001,0.00043384256423451,100
330,8,0.001,0.00286524230614305,100
331,8,0.001,0.000391697656596079,100
332,8,0.001,0.000184938777238131,100
333,8,0.001,0.000169928505783901,100
334,8,0.001,0.000104749036836438,100
335,8,0.001,0.00067202711943537,100
336,8,0.001,0.000306556175928563,100
337,8,0.001,0.00118553964421153,100
338,8,0.001,0.000513303151819855,100
339,8,0.001,0.000489613856188953,100
340,8,0.001,0.00104276300407946,100
341,8,0.001,0.00104457070119679,100
342,8,0.001,0.000376786338165402,100
343,8,0.001,0.000819147098809481,100
344,8,0.001,0.0150898080319166,100
345,8,0.001,0.000679712335113436,100
346,8,0.001,0.00661428412422538,100
347,8,0.001,0.000123852063552476,100
348,8,0.001,0.000920634891372174,100
349,8,0.001,6.35754186077975e-05,100
350,8,0.001,0.00113013503141701,100
351,8,0.001,0.000741373631171882,100
352,8,0.001,0.000290694471914321,100
353,8,0.001,7.28184531908482e-05,100
354,8,0.001,0.000359376281267032,100
355,8,0.001,0.000219354260480031,100
356,8,0.001,0.000198590656509623,100
357,8,0.001,0.000804072245955467,100
358,8,0.001,0.00126796984113753,100
359,8,0.001,0.000423702818807214,100
360,8,0.001,0.000185693250386976,100
361,9,0.001,0.000252984405960888,100
362,9,0.001,0.000264236005023122,100
363,9,0.001,0.00354374386370182,100
364,9,0.001,0.001288429251872,100
365,9,0.001,0.00117540825158358,100
366,9,0.001,0.00239709718152881,100
367,9,0.001,0.000583382090553641,100
368,9,0.001,0.00474735163152218,100
369,9,0.001,0.00025027254014276,100
370,9,0.001,0.000173877429915592,100
371,9,0.001,0.000633348827250302,100
372,9,0.001,0.000223328679567203,100
373,9,0.001,0.000419245625380427,100
374,9,0.001,0.0012039493303746,100
375,9,0.001,0.000335965218255296,100
376,9,0.001,0.000574039935600013,100
377,9,0.001,0.000297399383271113,100
378,9,0.001,0.000149404484545812,100
379,9,0.001,9.66757797868922e-05,100
380,9,0.001,0.00516933668404818,100
381,9,0.001,0.000360888865543529,100
